SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2020,NPOPCHG_2020,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,NETMIG2010,NETMIG2020,RESIDUAL2020,GQESTIMATES2020,RBIRTH2020,RDEATH2020,RNATURALINC2020,RINTERNATIONALMIG2020,RDOMESTICMIG2020,RNETMIG2020
40,3,6,1,0,Alabama,Alabama,4779736,4780118,4921532,13567,56739,58354,-1615,2078,13115,2278,15193,-11,116767,11.54463957,11.87324234,-0.328602776,0.422809021,2.668498703,3.091307724
50,3,6,1,1,Alabama,Autauga County,54571,54582,56145,376,606,582,24,-8,360,175,352,0,455,10.82974427,10.40084351,0.428900763,-0.142966921,6.433511446,6.290544525
50,3,6,1,3,Alabama,Baldwin County,182265,182263,229287,5722,2317,2543,-226,60,5918,831,5978,-30,2268,10.23292378,11.23104237,-0.998118591,0.264987236,26.13657442,26.40156166
50,3,6,1,5,Alabama,Barbour County,27457,27454,24589,-68,250,334,-84,6,10,-69,16,0,2777,10.15310888,13.56455347,-3.411444584,0.243674613,0.406124355,0.649798968
50,3,6,1,7,Alabama,Bibb County,22915,22904,22136,-177,249,266,-17,6,-166,-59,-160,0,2121,11.20385161,11.9687732,-0.764921596,0.269972328,-7.469234403,-7.199262076
50,3,6,1,9,Alabama,Blount County,57322,57322,57879,39,665,697,-32,1,68,7,69,2,489,11.49335891,12.0464228,-0.553063888,0.017283247,1.175260761,1.192544008
50,3,6,1,11,Alabama,Bullock County,10914,10913,9976,-168,114,116,-2,5,-170,-23,-165,-1,1704,11.33200795,11.53081511,-0.198807157,0.497017893,-16.89860835,-16.40159046
50,3,6,1,13,Alabama,Butler County,20947,20940,19504,3,200,266,-66,16,52,-4,68,1,333,10.2550955,13.63927702,-3.384181515,0.82040764,2.66632483,3.48673247
50,3,6,1,15,Alabama,Calhoun County,118572,118533,113469,-601,1230,1553,-323,10,-289,-110,-279,1,3285,10.81133344,13.65040718,-2.839073741,0.08789702,-2.540223874,-2.452326854
50,3,6,1,17,Alabama,Chambers County,34215,34154,32865,-379,334,519,-185,13,-208,-48,-195,1,458,10.10452435,15.70134172,-5.596817377,0.39328987,-6.292637916,-5.899348046
50,3,6,1,19,Alabama,Cherokee County,25989,25984,26294,40,236,406,-170,2,208,42,210,0,290,8.982263835,15.45253863,-6.470274796,0.07612088,7.916571516,7.992692396
50,3,6,1,21,Alabama,Chilton County,43643,43625,44397,84,533,554,-21,6,95,45,101,4,393,12.01668358,12.4901364,-0.473452824,0.135272235,2.141810393,2.277082629
50,3,6,1,23,Alabama,Choctaw County,13859,13858,12418,-159,136,183,-47,-5,-107,-17,-112,0,129,10.88217644,14.64292859,-3.76075215,-0.400080016,-8.561712342,-8.961792358
50,3,6,1,25,Alabama,Clarke County,25833,25834,23291,-360,265,348,-83,-1,-275,-76,-276,-1,280,11.29052874,14.82680755,-3.536278812,-0.042605769,-11.71658643,-11.75919219
50,3,6,1,27,Alabama,Clay County,13932,13930,13112,-153,158,224,-66,-1,-87,-21,-88,1,255,11.98013421,16.98449407,-5.004359859,-0.075823634,-6.596656178,-6.672479812
50,3,6,1,29,Alabama,Cleburne County,14972,14972,14967,15,177,216,-39,-2,56,13,54,0,178,11.83194626,14.43898526,-2.607039005,-0.133694308,3.743440623,3.609746315
50,3,6,1,31,Alabama,Coffee County,49948,49951,53230,591,568,590,-22,51,562,159,613,0,600,10.73024209,11.14585006,-0.415607968,0.963454836,10.61689446,11.5803493
50,3,6,1,33,Alabama,Colbert County,54428,54430,55411,170,631,724,-93,33,230,67,263,0,474,11.40512598,13.08607165,-1.680945667,0.596464592,4.157177457,4.753642049
50,3,6,1,35,Alabama,Conecuh County,13228,13232,11851,-204,119,199,-80,0,-124,-20,-124,0,45,9.955659667,16.64854012,-6.692880448,0,-10.3739647,-10.3739647
50,3,6,1,37,Alabama,Coosa County,11539,11756,10650,-27,79,143,-64,8,28,15,36,1,259,7.408449383,13.41023116,-6.001781779,0.750222722,2.625779528,3.376002251
50,3,6,1,39,Alabama,Covington County,37765,37762,36930,-152,395,555,-160,-1,8,43,7,1,575,10.67394477,14.99756796,-4.323623196,-0.027022645,0.21618116,0.189158515
50,3,6,1,41,Alabama,Crenshaw County,13906,13891,13681,-130,135,201,-66,4,-66,-39,-62,-2,132,9.821038848,14.62243562,-4.80139677,0.290993744,-4.80139677,-4.510403026
50,3,6,1,43,Alabama,Cullman County,80406,80404,84515,871,948,1115,-167,3,1037,42,1040,-2,1040,11.27504326,13.26125869,-1.986215427,0.035680517,12.33356526,12.36924577
50,3,6,1,45,Alabama,Dale County,50251,50253,48959,-335,642,622,20,11,-364,45,-353,-2,927,13.06830326,12.66119101,0.407112251,0.223911738,-7.409442969,-7.185531231
50,3,6,1,47,Alabama,Dallas County,43820,43813,36098,-1084,398,573,-175,7,-910,-7,-903,-6,853,10.86244542,15.63864629,-4.776200873,0.191048035,-24.83624454,-24.64519651
50,3,6,1,49,Alabama,DeKalb County,71109,71090,71658,152,816,893,-77,39,189,-31,228,1,781,11.39951384,12.47520326,-1.075689419,0.544829706,2.640328574,3.18515828
50,3,6,1,51,Alabama,Elmore County,79303,79279,82158,583,902,876,26,17,537,227,554,3,4172,11.01793774,10.70034752,0.317590223,0.207655146,6.559459608,6.767114754
50,3,6,1,53,Alabama,Escambia County,38319,38325,36281,-288,434,503,-69,1,-220,-30,-219,0,2392,11.91489362,13.80919698,-1.894303363,0.027453672,-6.039807824,-6.012354152
50,3,6,1,55,Alabama,Etowah County,104430,104412,102371,-89,1173,1609,-436,29,317,70,346,1,2085,11.45334446,15.71051257,-4.257168104,0.283160264,3.095234608,3.378394872
50,3,6,1,57,Alabama,Fayette County,17241,17237,16241,-38,160,247,-87,3,47,-3,50,-1,291,9.840098401,15.19065191,-5.350553506,0.184501845,2.890528905,3.07503075
50,3,6,1,59,Alabama,Franklin County,31704,31708,31507,-80,428,416,12,52,-144,-16,-92,0,272,13.56705867,13.18667385,0.380384823,1.648334232,-4.564617872,-2.91628364
50,3,6,1,61,Alabama,Geneva County,26790,26783,26411,102,264,379,-115,-3,219,39,216,1,229,10.01517451,14.37784522,-4.362670713,-0.113808801,8.308042489,8.194233687
